Molecule,Prior_Up_Down,Type,Organ,Species,PMID,ID
Qdpr,Up,Protein,Liver,Tailless tenrec,https://pubmed.ncbi.nlm.nih.gov/34431404/,Mouse_gene_symbol
Rab11a,Up,Protein,Liver,Tailless tenrec,https://pubmed.ncbi.nlm.nih.gov/34431404/,Mouse_gene_symbol
Rab2a,Up,Protein,Liver,Tailless tenrec,https://pubmed.ncbi.nlm.nih.gov/34431404/,Mouse_gene_symbol
Rad23b,Down,Protein,Liver,Tailless tenrec,https://pubmed.ncbi.nlm.nih.gov/34431404/,Mouse_gene_symbol
Ran,Up,Protein,Liver,Tailless tenrec,https://pubmed.ncbi.nlm.nih.gov/34431404/,Mouse_gene_symbol
Ranbp1,Up,Protein,Liver,Tailless tenrec,https://pubmed.ncbi.nlm.nih.gov/34431404/,Mouse_gene_symbol
Rbm3,Up,Protein,Liver,Tailless tenrec,https://pubmed.ncbi.nlm.nih.gov/34431404/,Mouse_gene_symbol
Rbmx,Up,Protein,Liver,Tailless tenrec,https://pubmed.ncbi.nlm.nih.gov/34431404/,Mouse_gene_symbol
Rdh12,Down,Protein,Liver,Tailless tenrec,https://pubmed.ncbi.nlm.nih.gov/34431404/,Mouse_gene_symbol
Rnase1,Up,Protein,Liver,Tailless tenrec,https://pubmed.ncbi.nlm.nih.gov/34431404/,Mouse_gene_symbol
Rpl13a,Down,Protein,Liver,Tailless tenrec,https://pubmed.ncbi.nlm.nih.gov/34431404/,Mouse_gene_symbol
Rpl14,Down,Protein,Liver,Tailless tenrec,https://pubmed.ncbi.nlm.nih.gov/34431404/,Mouse_gene_symbol
Rpl32l,Down,Protein,Liver,Tailless tenrec,https://pubmed.ncbi.nlm.nih.gov/34431404/,Mouse_gene_symbol
Rpl34-ps1,Down,Protein,Liver,Tailless tenrec,https://pubmed.ncbi.nlm.nih.gov/34431404/,Mouse_gene_symbol
Rpl38,Up,Protein,Liver,Tailless tenrec,https://pubmed.ncbi.nlm.nih.gov/34431404/,Mouse_gene_symbol
Rpl6,Down,Protein,Liver,Tailless tenrec,https://pubmed.ncbi.nlm.nih.gov/34431404/,Mouse_gene_symbol
Rpn1,Up,Protein,Liver,Tailless tenrec,https://pubmed.ncbi.nlm.nih.gov/34431404/,Mouse_gene_symbol
Rps15a,Up,Protein,Liver,Tailless tenrec,https://pubmed.ncbi.nlm.nih.gov/34431404/,Mouse_gene_symbol
Rps18,Up,Protein,Liver,Tailless tenrec,https://pubmed.ncbi.nlm.nih.gov/34431404/,Mouse_gene_symbol
Rps9,Down,Protein,Liver,Tailless tenrec,https://pubmed.ncbi.nlm.nih.gov/34431404/,Mouse_gene_symbol
Rsl24d1,Down,Protein,Liver,Tailless tenrec,https://pubmed.ncbi.nlm.nih.gov/34431404/,Mouse_gene_symbol
Rsu1,Up,Protein,Liver,Tailless tenrec,https://pubmed.ncbi.nlm.nih.gov/34431404/,Mouse_gene_symbol
S100a10,Up,Protein,Liver,Tailless tenrec,https://pubmed.ncbi.nlm.nih.gov/34431404/,Mouse_gene_symbol
S100a11,Up,Protein,Liver,Tailless tenrec,https://pubmed.ncbi.nlm.nih.gov/34431404/,Mouse_gene_symbol
S100a9,Up,Protein,Liver,Tailless tenrec,https://pubmed.ncbi.nlm.nih.gov/34431404/,Mouse_gene_symbol
Sar1b,Down,Protein,Liver,Tailless tenrec,https://pubmed.ncbi.nlm.nih.gov/34431404/,Mouse_gene_symbol
Sardh,Down,Protein,Liver,Tailless tenrec,https://pubmed.ncbi.nlm.nih.gov/34431404/,Mouse_gene_symbol
Sars1,Up,Protein,Liver,Tailless tenrec,https://pubmed.ncbi.nlm.nih.gov/34431404/,Mouse_gene_symbol
Scn2a,Up,Protein,Liver,Tailless tenrec,https://pubmed.ncbi.nlm.nih.gov/34431404/,Mouse_gene_symbol
Scp2,Down,Protein,Liver,Tailless tenrec,https://pubmed.ncbi.nlm.nih.gov/34431404/,Mouse_gene_symbol
Sdha,Down,Protein,Liver,Tailless tenrec,https://pubmed.ncbi.nlm.nih.gov/34431404/,Mouse_gene_symbol
Sdhb,Down,Protein,Liver,Tailless tenrec,https://pubmed.ncbi.nlm.nih.gov/34431404/,Mouse_gene_symbol
Sdhc,Down,Protein,Liver,Tailless tenrec,https://pubmed.ncbi.nlm.nih.gov/34431404/,Mouse_gene_symbol
Sec11a,Up,Protein,Liver,Tailless tenrec,https://pubmed.ncbi.nlm.nih.gov/34431404/,Mouse_gene_symbol
Sec14l1,Down,Protein,Liver,Tailless tenrec,https://pubmed.ncbi.nlm.nih.gov/34431404/,Mouse_gene_symbol
Sec14l2,Down,Protein,Liver,Tailless tenrec,https://pubmed.ncbi.nlm.nih.gov/34431404/,Mouse_gene_symbol
Septin11,Up,Protein,Liver,Tailless tenrec,https://pubmed.ncbi.nlm.nih.gov/34431404/,Mouse_gene_symbol
Septin2,Up,Protein,Liver,Tailless tenrec,https://pubmed.ncbi.nlm.nih.gov/34431404/,Mouse_gene_symbol
Septin7,Up,Protein,Liver,Tailless tenrec,https://pubmed.ncbi.nlm.nih.gov/34431404/,Mouse_gene_symbol
Serbp1,Up,Protein,Liver,Tailless tenrec,https://pubmed.ncbi.nlm.nih.gov/34431404/,Mouse_gene_symbol
Serpina1e,Down,Protein,Liver,Tailless tenrec,https://pubmed.ncbi.nlm.nih.gov/34431404/,Mouse_gene_symbol
Set,Up,Protein,Liver,Tailless tenrec,https://pubmed.ncbi.nlm.nih.gov/34431404/,Mouse_gene_symbol
Sh3bgrl,Up,Protein,Liver,Tailless tenrec,https://pubmed.ncbi.nlm.nih.gov/34431404/,Mouse_gene_symbol
Sh3bgrl3,Up,Protein,Liver,Tailless tenrec,https://pubmed.ncbi.nlm.nih.gov/34431404/,Mouse_gene_symbol
Slc25a1,Down,Protein,Liver,Tailless tenrec,https://pubmed.ncbi.nlm.nih.gov/34431404/,Mouse_gene_symbol
Slc25a15,Down,Protein,Liver,Tailless tenrec,https://pubmed.ncbi.nlm.nih.gov/34431404/,Mouse_gene_symbol
Slc25a3,Down,Protein,Liver,Tailless tenrec,https://pubmed.ncbi.nlm.nih.gov/34431404/,Mouse_gene_symbol
Slc27a2,Down,Protein,Liver,Tailless tenrec,https://pubmed.ncbi.nlm.nih.gov/34431404/,Mouse_gene_symbol
Spcs2,Up,Protein,Liver,Tailless tenrec,https://pubmed.ncbi.nlm.nih.gov/34431404/,Mouse_gene_symbol
Spr,Up,Protein,Liver,Tailless tenrec,https://pubmed.ncbi.nlm.nih.gov/34431404/,Mouse_gene_symbol
Sptan1,Up,Protein,Liver,Tailless tenrec,https://pubmed.ncbi.nlm.nih.gov/34431404/,Mouse_gene_symbol
Sptbn1,Up,Protein,Liver,Tailless tenrec,https://pubmed.ncbi.nlm.nih.gov/34431404/,Mouse_gene_symbol
Ssb,Up,Protein,Liver,Tailless tenrec,https://pubmed.ncbi.nlm.nih.gov/34431404/,Mouse_gene_symbol
Ssr1,Up,Protein,Liver,Tailless tenrec,https://pubmed.ncbi.nlm.nih.gov/34431404/,Mouse_gene_symbol
St13,Up,Protein,Liver,Tailless tenrec,https://pubmed.ncbi.nlm.nih.gov/34431404/,Mouse_gene_symbol
Stard10,Down,Protein,Liver,Tailless tenrec,https://pubmed.ncbi.nlm.nih.gov/34431404/,Mouse_gene_symbol
Sucla2,Down,Protein,Liver,Tailless tenrec,https://pubmed.ncbi.nlm.nih.gov/34431404/,Mouse_gene_symbol
Suclg1,Down,Protein,Liver,Tailless tenrec,https://pubmed.ncbi.nlm.nih.gov/34431404/,Mouse_gene_symbol
Suclg2,Down,Protein,Liver,Tailless tenrec,https://pubmed.ncbi.nlm.nih.gov/34431404/,Mouse_gene_symbol
Tgfbi,Up,Protein,Liver,Tailless tenrec,https://pubmed.ncbi.nlm.nih.gov/34431404/,Mouse_gene_symbol
Tgfbrap1,Down,Protein,Liver,Tailless tenrec,https://pubmed.ncbi.nlm.nih.gov/34431404/,Mouse_gene_symbol
Timm13,Down,Protein,Liver,Tailless tenrec,https://pubmed.ncbi.nlm.nih.gov/34431404/,Mouse_gene_symbol
Tkfc,Down,Protein,Liver,Tailless tenrec,https://pubmed.ncbi.nlm.nih.gov/34431404/,Mouse_gene_symbol
Tkt,Up,Protein,Liver,Tailless tenrec,https://pubmed.ncbi.nlm.nih.gov/34431404/,Mouse_gene_symbol
Tln1,Up,Protein,Liver,Tailless tenrec,https://pubmed.ncbi.nlm.nih.gov/34431404/,Mouse_gene_symbol
Tmpo,Up,Protein,Liver,Tailless tenrec,https://pubmed.ncbi.nlm.nih.gov/34431404/,Mouse_gene_symbol
Tmt1a,Down,Protein,Liver,Tailless tenrec,https://pubmed.ncbi.nlm.nih.gov/34431404/,Mouse_gene_symbol
Tpm3,Up,Protein,Liver,Tailless tenrec,https://pubmed.ncbi.nlm.nih.gov/34431404/,Mouse_gene_symbol
Tpm4,Up,Protein,Liver,Tailless tenrec,https://pubmed.ncbi.nlm.nih.gov/34431404/,Mouse_gene_symbol
Trf,Down,Protein,Liver,Tailless tenrec,https://pubmed.ncbi.nlm.nih.gov/34431404/,Mouse_gene_symbol
Tsn,Up,Protein,Liver,Tailless tenrec,https://pubmed.ncbi.nlm.nih.gov/34431404/,Mouse_gene_symbol
Tst,Down,Protein,Liver,Tailless tenrec,https://pubmed.ncbi.nlm.nih.gov/34431404/,Mouse_gene_symbol
Ttc36,Up,Protein,Liver,Tailless tenrec,https://pubmed.ncbi.nlm.nih.gov/34431404/,Mouse_gene_symbol
Tuba4a,Up,Protein,Liver,Tailless tenrec,https://pubmed.ncbi.nlm.nih.gov/34431404/,Mouse_gene_symbol
Tuba8,Down,Protein,Liver,Tailless tenrec,https://pubmed.ncbi.nlm.nih.gov/34431404/,Mouse_gene_symbol
Tubb2a,Up,Protein,Liver,Tailless tenrec,https://pubmed.ncbi.nlm.nih.gov/34431404/,Mouse_gene_symbol
Txn1,Up,Protein,Liver,Tailless tenrec,https://pubmed.ncbi.nlm.nih.gov/34431404/,Mouse_gene_symbol
Uba1,Up,Protein,Liver,Tailless tenrec,https://pubmed.ncbi.nlm.nih.gov/34431404/,Mouse_gene_symbol
Ube2l3,Up,Protein,Liver,Tailless tenrec,https://pubmed.ncbi.nlm.nih.gov/34431404/,Mouse_gene_symbol
Ugt1a6a,Down,Protein,Liver,Tailless tenrec,https://pubmed.ncbi.nlm.nih.gov/34431404/,Mouse_gene_symbol
Ugt1a6a,Down,Protein,Liver,Tailless tenrec,https://pubmed.ncbi.nlm.nih.gov/34431404/,Mouse_gene_symbol
Ugt3a2,Down,Protein,Liver,Tailless tenrec,https://pubmed.ncbi.nlm.nih.gov/34431404/,Mouse_gene_symbol
Uqcrc1,Down,Protein,Liver,Tailless tenrec,https://pubmed.ncbi.nlm.nih.gov/34431404/,Mouse_gene_symbol
Uqcrfs1,Down,Protein,Liver,Tailless tenrec,https://pubmed.ncbi.nlm.nih.gov/34431404/,Mouse_gene_symbol
Vars1,Up,Protein,Liver,Tailless tenrec,https://pubmed.ncbi.nlm.nih.gov/34431404/,Mouse_gene_symbol
Vat1,Up,Protein,Liver,Tailless tenrec,https://pubmed.ncbi.nlm.nih.gov/34431404/,Mouse_gene_symbol
Vcl,Up,Protein,Liver,Tailless tenrec,https://pubmed.ncbi.nlm.nih.gov/34431404/,Mouse_gene_symbol
Vdac1,Up,Protein,Liver,Tailless tenrec,https://pubmed.ncbi.nlm.nih.gov/34431404/,Mouse_gene_symbol
Vps72,Up,Protein,Liver,Tailless tenrec,https://pubmed.ncbi.nlm.nih.gov/34431404/,Mouse_gene_symbol
Wdr1,Up,Protein,Liver,Tailless tenrec,https://pubmed.ncbi.nlm.nih.gov/34431404/,Mouse_gene_symbol
Ywhae,Up,Protein,Liver,Tailless tenrec,https://pubmed.ncbi.nlm.nih.gov/34431404/,Mouse_gene_symbol
Ywhag,Up,Protein,Liver,Tailless tenrec,https://pubmed.ncbi.nlm.nih.gov/34431404/,Mouse_gene_symbol
Ywhaq,Up,Protein,Liver,Tailless tenrec,https://pubmed.ncbi.nlm.nih.gov/34431404/,Mouse_gene_symbol
Ywhaz,Up,Protein,Liver,Tailless tenrec,https://pubmed.ncbi.nlm.nih.gov/34431404/,Mouse_gene_symbol
Pdk1,Up,Protein,Muscle,Richardson's ground squirrel,https://pubmed.ncbi.nlm.nih.gov/34420628/,Mouse_gene_symbol
Pdk2,Up,Protein,Muscle,Richardson's ground squirrel,https://pubmed.ncbi.nlm.nih.gov/34420628/,Mouse_gene_symbol
Pdk4,Down,Protein,Muscle,Richardson's ground squirrel,https://pubmed.ncbi.nlm.nih.gov/34420628/,Mouse_gene_symbol
Iron,Down,Metabolite,Bone,Daurian ground squirrel,https://pubmed.ncbi.nlm.nih.gov/34298179/,Compound
Iron,Down,Metabolite,Liver,Daurian ground squirrel,https://pubmed.ncbi.nlm.nih.gov/34298179/,Compound
Tfrc,Up,Protein,Bone,Daurian ground squirrel,https://pubmed.ncbi.nlm.nih.gov/34298179/,Mouse_gene_symbol
Fth1,Down,Protein,Liver,Daurian ground squirrel,https://pubmed.ncbi.nlm.nih.gov/34298179/,Mouse_gene_symbol
Dnmt1,Up,Protein,Heart,Thirteen-lined ground squirrel,https://pubmed.ncbi.nlm.nih.gov/34191233/,Mouse_gene_symbol
Dnmt2,Up,Protein,Heart,Thirteen-lined ground squirrel,https://pubmed.ncbi.nlm.nih.gov/34191233/,Mouse_gene_symbol
Sirt5,Up,Protein,Muscle,Richardson's ground squirrel,https://pubmed.ncbi.nlm.nih.gov/34186087/,Mouse_gene_symbol
Runx2,Up,Protein,Bone,Daurian ground squirrel,https://pubmed.ncbi.nlm.nih.gov/34002279/,Mouse_gene_symbol
Aacs,Down,mRNA,Liver,Thirteen-lined ground squirrel,https://pubmed.ncbi.nlm.nih.gov/34093224/,Mouse_gene_symbol
Aass,Down,mRNA,Liver,Thirteen-lined ground squirrel,https://pubmed.ncbi.nlm.nih.gov/34093224/,Mouse_gene_symbol
Aatf,Up,mRNA,Liver,Thirteen-lined ground squirrel,https://pubmed.ncbi.nlm.nih.gov/34093224/,Mouse_gene_symbol
Abat,Down,mRNA,Liver,Thirteen-lined ground squirrel,https://pubmed.ncbi.nlm.nih.gov/34093224/,Mouse_gene_symbol
Abcb10,Down,mRNA,Liver,Thirteen-lined ground squirrel,https://pubmed.ncbi.nlm.nih.gov/34093224/,Mouse_gene_symbol
Abcc6,Down,mRNA,Liver,Thirteen-lined ground squirrel,https://pubmed.ncbi.nlm.nih.gov/34093224/,Mouse_gene_symbol
Abhd5,Down,mRNA,Liver,Thirteen-lined ground squirrel,https://pubmed.ncbi.nlm.nih.gov/34093224/,Mouse_gene_symbol
Abr,Up,mRNA,Liver,Thirteen-lined ground squirrel,https://pubmed.ncbi.nlm.nih.gov/34093224/,Mouse_gene_symbol
Abtb2,Down,mRNA,Liver,Thirteen-lined ground squirrel,https://pubmed.ncbi.nlm.nih.gov/34093224/,Mouse_gene_symbol
Acaca,Down,mRNA,Liver,Thirteen-lined ground squirrel,https://pubmed.ncbi.nlm.nih.gov/34093224/,Mouse_gene_symbol
Acacb,Down,mRNA,Liver,Thirteen-lined ground squirrel,https://pubmed.ncbi.nlm.nih.gov/34093224/,Mouse_gene_symbol
Acad11,Down,mRNA,Liver,Thirteen-lined ground squirrel,https://pubmed.ncbi.nlm.nih.gov/34093224/,Mouse_gene_symbol
Acad8,Down,mRNA,Liver,Thirteen-lined ground squirrel,https://pubmed.ncbi.nlm.nih.gov/34093224/,Mouse_gene_symbol
Acadsb,Down,mRNA,Liver,Thirteen-lined ground squirrel,https://pubmed.ncbi.nlm.nih.gov/34093224/,Mouse_gene_symbol
Acbd4,Down,mRNA,Liver,Thirteen-lined ground squirrel,https://pubmed.ncbi.nlm.nih.gov/34093224/,Mouse_gene_symbol
Accs,Down,mRNA,Liver,Thirteen-lined ground squirrel,https://pubmed.ncbi.nlm.nih.gov/34093224/,Mouse_gene_symbol
Acly,Down,mRNA,Liver,Thirteen-lined ground squirrel,https://pubmed.ncbi.nlm.nih.gov/34093224/,Mouse_gene_symbol
Acmsd,Down,mRNA,Liver,Thirteen-lined ground squirrel,https://pubmed.ncbi.nlm.nih.gov/34093224/,Mouse_gene_symbol
Aco1,Down,mRNA,Liver,Thirteen-lined ground squirrel,https://pubmed.ncbi.nlm.nih.gov/34093224/,Mouse_gene_symbol
Acot2,Up,mRNA,Liver,Thirteen-lined ground squirrel,https://pubmed.ncbi.nlm.nih.gov/34093224/,Mouse_gene_symbol
Acsf2,Down,mRNA,Liver,Thirteen-lined ground squirrel,https://pubmed.ncbi.nlm.nih.gov/34093224/,Mouse_gene_symbol
Acsf3,Up,mRNA,Liver,Thirteen-lined ground squirrel,https://pubmed.ncbi.nlm.nih.gov/34093224/,Mouse_gene_symbol
Acsl4,Down,mRNA,Liver,Thirteen-lined ground squirrel,https://pubmed.ncbi.nlm.nih.gov/34093224/,Mouse_gene_symbol
Acsl5,Down,mRNA,Liver,Thirteen-lined ground squirrel,https://pubmed.ncbi.nlm.nih.gov/34093224/,Mouse_gene_symbol
Acss2,Down,mRNA,Liver,Thirteen-lined ground squirrel,https://pubmed.ncbi.nlm.nih.gov/34093224/,Mouse_gene_symbol
Actr6,Down,mRNA,Liver,Thirteen-lined ground squirrel,https://pubmed.ncbi.nlm.nih.gov/34093224/,Mouse_gene_symbol
Acy1,Down,mRNA,Liver,Thirteen-lined ground squirrel,https://pubmed.ncbi.nlm.nih.gov/34093224/,Mouse_gene_symbol
Add1,Up,mRNA,Liver,Thirteen-lined ground squirrel,https://pubmed.ncbi.nlm.nih.gov/34093224/,Mouse_gene_symbol
Adm2,Up,mRNA,Liver,Thirteen-lined ground squirrel,https://pubmed.ncbi.nlm.nih.gov/34093224/,Mouse_gene_symbol
Adra1a,Down,mRNA,Liver,Thirteen-lined ground squirrel,https://pubmed.ncbi.nlm.nih.gov/34093224/,Mouse_gene_symbol
Adra1b,Down,mRNA,Liver,Thirteen-lined ground squirrel,https://pubmed.ncbi.nlm.nih.gov/34093224/,Mouse_gene_symbol
Adrm1,Up,mRNA,Liver,Thirteen-lined ground squirrel,https://pubmed.ncbi.nlm.nih.gov/34093224/,Mouse_gene_symbol
Afm,Down,mRNA,Liver,Thirteen-lined ground squirrel,https://pubmed.ncbi.nlm.nih.gov/34093224/,Mouse_gene_symbol
Agfg2,Down,mRNA,Liver,Thirteen-lined ground squirrel,https://pubmed.ncbi.nlm.nih.gov/34093224/,Mouse_gene_symbol
Agmo,Down,mRNA,Liver,Thirteen-lined ground squirrel,https://pubmed.ncbi.nlm.nih.gov/34093224/,Mouse_gene_symbol
Agxt,Down,mRNA,Liver,Thirteen-lined ground squirrel,https://pubmed.ncbi.nlm.nih.gov/34093224/,Mouse_gene_symbol
Ahr,Down,mRNA,Liver,Thirteen-lined ground squirrel,https://pubmed.ncbi.nlm.nih.gov/34093224/,Mouse_gene_symbol
Aifm2,Up,mRNA,Liver,Thirteen-lined ground squirrel,https://pubmed.ncbi.nlm.nih.gov/34093224/,Mouse_gene_symbol
Akap1,Up,mRNA,Liver,Thirteen-lined ground squirrel,https://pubmed.ncbi.nlm.nih.gov/34093224/,Mouse_gene_symbol
Akap11,Down,mRNA,Liver,Thirteen-lined ground squirrel,https://pubmed.ncbi.nlm.nih.gov/34093224/,Mouse_gene_symbol
Akap8,Up,mRNA,Liver,Thirteen-lined ground squirrel,https://pubmed.ncbi.nlm.nih.gov/34093224/,Mouse_gene_symbol
Akna,Up,mRNA,Liver,Thirteen-lined ground squirrel,https://pubmed.ncbi.nlm.nih.gov/34093224/,Mouse_gene_symbol
Akt1,Up,mRNA,Liver,Thirteen-lined ground squirrel,https://pubmed.ncbi.nlm.nih.gov/34093224/,Mouse_gene_symbol
Aldh1b1,Down,mRNA,Liver,Thirteen-lined ground squirrel,https://pubmed.ncbi.nlm.nih.gov/34093224/,Mouse_gene_symbol
Aldh1l1,Down,mRNA,Liver,Thirteen-lined ground squirrel,https://pubmed.ncbi.nlm.nih.gov/34093224/,Mouse_gene_symbol
Aldh4a1,Down,mRNA,Liver,Thirteen-lined ground squirrel,https://pubmed.ncbi.nlm.nih.gov/34093224/,Mouse_gene_symbol
Aldh7a1,Down,mRNA,Liver,Thirteen-lined ground squirrel,https://pubmed.ncbi.nlm.nih.gov/34093224/,Mouse_gene_symbol
Aldh8a1,Down,mRNA,Liver,Thirteen-lined ground squirrel,https://pubmed.ncbi.nlm.nih.gov/34093224/,Mouse_gene_symbol
Aldob,Down,mRNA,Liver,Thirteen-lined ground squirrel,https://pubmed.ncbi.nlm.nih.gov/34093224/,Mouse_gene_symbol
Alg1,Up,mRNA,Liver,Thirteen-lined ground squirrel,https://pubmed.ncbi.nlm.nih.gov/34093224/,Mouse_gene_symbol
Alpl,Down,mRNA,Liver,Thirteen-lined ground squirrel,https://pubmed.ncbi.nlm.nih.gov/34093224/,Mouse_gene_symbol
Alyref,Up,mRNA,Liver,Thirteen-lined ground squirrel,https://pubmed.ncbi.nlm.nih.gov/34093224/,Mouse_gene_symbol
Amacr,Down,mRNA,Liver,Thirteen-lined ground squirrel,https://pubmed.ncbi.nlm.nih.gov/34093224/,Mouse_gene_symbol
Amotl2,Down,mRNA,Liver,Thirteen-lined ground squirrel,https://pubmed.ncbi.nlm.nih.gov/34093224/,Mouse_gene_symbol
Angptl3,Down,mRNA,Liver,Thirteen-lined ground squirrel,https://pubmed.ncbi.nlm.nih.gov/34093224/,Mouse_gene_symbol
Angptl8,Down,mRNA,Liver,Thirteen-lined ground squirrel,https://pubmed.ncbi.nlm.nih.gov/34093224/,Mouse_gene_symbol
Ankrd13a,Up,mRNA,Liver,Thirteen-lined ground squirrel,https://pubmed.ncbi.nlm.nih.gov/34093224/,Mouse_gene_symbol
Ankrd46,Down,mRNA,Liver,Thirteen-lined ground squirrel,https://pubmed.ncbi.nlm.nih.gov/34093224/,Mouse_gene_symbol
Anks3,Up,mRNA,Liver,Thirteen-lined ground squirrel,https://pubmed.ncbi.nlm.nih.gov/34093224/,Mouse_gene_symbol
Ap2m1,Up,mRNA,Liver,Thirteen-lined ground squirrel,https://pubmed.ncbi.nlm.nih.gov/34093224/,Mouse_gene_symbol
Ap3m1,Down,mRNA,Liver,Thirteen-lined ground squirrel,https://pubmed.ncbi.nlm.nih.gov/34093224/,Mouse_gene_symbol
Apcs,Up,mRNA,Liver,Thirteen-lined ground squirrel,https://pubmed.ncbi.nlm.nih.gov/34093224/,Mouse_gene_symbol
Apela,Down,mRNA,Liver,Thirteen-lined ground squirrel,https://pubmed.ncbi.nlm.nih.gov/34093224/,Mouse_gene_symbol
Apex2,Up,mRNA,Liver,Thirteen-lined ground squirrel,https://pubmed.ncbi.nlm.nih.gov/34093224/,Mouse_gene_symbol
Apoc3,Down,mRNA,Liver,Thirteen-lined ground squirrel,https://pubmed.ncbi.nlm.nih.gov/34093224/,Mouse_gene_symbol
Apoe,Down,mRNA,Liver,Thirteen-lined ground squirrel,https://pubmed.ncbi.nlm.nih.gov/34093224/,Mouse_gene_symbol
Aqp11,Down,mRNA,Liver,Thirteen-lined ground squirrel,https://pubmed.ncbi.nlm.nih.gov/34093224/,Mouse_gene_symbol
Aqp9,Down,mRNA,Liver,Thirteen-lined ground squirrel,https://pubmed.ncbi.nlm.nih.gov/34093224/,Mouse_gene_symbol
Arf6,Up,mRNA,Liver,Thirteen-lined ground squirrel,https://pubmed.ncbi.nlm.nih.gov/34093224/,Mouse_gene_symbol
Arfgap1,Up,mRNA,Liver,Thirteen-lined ground squirrel,https://pubmed.ncbi.nlm.nih.gov/34093224/,Mouse_gene_symbol
Arfrp1,Up,mRNA,Liver,Thirteen-lined ground squirrel,https://pubmed.ncbi.nlm.nih.gov/34093224/,Mouse_gene_symbol
Arhgdia,Up,mRNA,Liver,Thirteen-lined ground squirrel,https://pubmed.ncbi.nlm.nih.gov/34093224/,Mouse_gene_symbol
Arhgdib,Up,mRNA,Liver,Thirteen-lined ground squirrel,https://pubmed.ncbi.nlm.nih.gov/34093224/,Mouse_gene_symbol
Arhgef1,Up,mRNA,Liver,Thirteen-lined ground squirrel,https://pubmed.ncbi.nlm.nih.gov/34093224/,Mouse_gene_symbol
Arhgef7,Up,mRNA,Liver,Thirteen-lined ground squirrel,https://pubmed.ncbi.nlm.nih.gov/34093224/,Mouse_gene_symbol
Arid5b,Down,mRNA,Liver,Thirteen-lined ground squirrel,https://pubmed.ncbi.nlm.nih.gov/34093224/,Mouse_gene_symbol
Arl6ip1,Down,mRNA,Liver,Thirteen-lined ground squirrel,https://pubmed.ncbi.nlm.nih.gov/34093224/,Mouse_gene_symbol
Arl8a,Up,mRNA,Liver,Thirteen-lined ground squirrel,https://pubmed.ncbi.nlm.nih.gov/34093224/,Mouse_gene_symbol
Arpc1a,Down,mRNA,Liver,Thirteen-lined ground squirrel,https://pubmed.ncbi.nlm.nih.gov/34093224/,Mouse_gene_symbol
Arpc1b,Down,mRNA,Liver,Thirteen-lined ground squirrel,https://pubmed.ncbi.nlm.nih.gov/34093224/,Mouse_gene_symbol
Arsa,Up,mRNA,Liver,Thirteen-lined ground squirrel,https://pubmed.ncbi.nlm.nih.gov/34093224/,Mouse_gene_symbol
Asb13,Down,mRNA,Liver,Thirteen-lined ground squirrel,https://pubmed.ncbi.nlm.nih.gov/34093224/,Mouse_gene_symbol
Asns,Up,mRNA,Liver,Thirteen-lined ground squirrel,https://pubmed.ncbi.nlm.nih.gov/34093224/,Mouse_gene_symbol
Aspg,Down,mRNA,Liver,Thirteen-lined ground squirrel,https://pubmed.ncbi.nlm.nih.gov/34093224/,Mouse_gene_symbol
Asph,Down,mRNA,Liver,Thirteen-lined ground squirrel,https://pubmed.ncbi.nlm.nih.gov/34093224/,Mouse_gene_symbol
Asrgl1,Down,mRNA,Liver,Thirteen-lined ground squirrel,https://pubmed.ncbi.nlm.nih.gov/34093224/,Mouse_gene_symbol
Ass1,Down,mRNA,Liver,Thirteen-lined ground squirrel,https://pubmed.ncbi.nlm.nih.gov/34093224/,Mouse_gene_symbol
Atad2,Down,mRNA,Liver,Thirteen-lined ground squirrel,https://pubmed.ncbi.nlm.nih.gov/34093224/,Mouse_gene_symbol
Atf4,Up,mRNA,Liver,Thirteen-lined ground squirrel,https://pubmed.ncbi.nlm.nih.gov/34093224/,Mouse_gene_symbol
Atic,Up,mRNA,Liver,Thirteen-lined ground squirrel,https://pubmed.ncbi.nlm.nih.gov/34093224/,Mouse_gene_symbol
Atl2,Up,mRNA,Liver,Thirteen-lined ground squirrel,https://pubmed.ncbi.nlm.nih.gov/34093224/,Mouse_gene_symbol
Atp6v1a,Down,mRNA,Liver,Thirteen-lined ground squirrel,https://pubmed.ncbi.nlm.nih.gov/34093224/,Mouse_gene_symbol
Atp6v1e1,Down,mRNA,Liver,Thirteen-lined ground squirrel,https://pubmed.ncbi.nlm.nih.gov/34093224/,Mouse_gene_symbol
Atxn7l1,Down,mRNA,Liver,Thirteen-lined ground squirrel,https://pubmed.ncbi.nlm.nih.gov/34093224/,Mouse_gene_symbol
Avpi1,Down,mRNA,Liver,Thirteen-lined ground squirrel,https://pubmed.ncbi.nlm.nih.gov/34093224/,Mouse_gene_symbol
Avpr1a,Down,mRNA,Liver,Thirteen-lined ground squirrel,https://pubmed.ncbi.nlm.nih.gov/34093224/,Mouse_gene_symbol
B3galnt2,Down,mRNA,Liver,Thirteen-lined ground squirrel,https://pubmed.ncbi.nlm.nih.gov/34093224/,Mouse_gene_symbol
B4galt2,Up,mRNA,Liver,Thirteen-lined ground squirrel,https://pubmed.ncbi.nlm.nih.gov/34093224/,Mouse_gene_symbol
Baat,Down,mRNA,Liver,Thirteen-lined ground squirrel,https://pubmed.ncbi.nlm.nih.gov/34093224/,Mouse_gene_symbol
