Molecule,Prior_Up_Down,Type,Organ,Species,PMID,ID
Slc1a3,Down,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Pdgfa,Down,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Cggbp1,Down,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Adrb3,Down,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
C2od2,Down,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Prdm15,Down,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Rpp21,Down,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Smg5,Down,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Zfp74,Down,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Edc3,Down,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Trim47,Down,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Glcci1,Down,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Myorg,Down,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Lasp1,Down,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Pde3b,Down,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Flcn,Down,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Htra4,Down,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Nsmf,Down,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Bach2,Down,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Alpk2,Down,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Irf2,Down,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Gabarapl1,Down,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Zfp454,Down,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Dnaja1,Down,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Rcan1,Down,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Adamts1,Down,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Scaf4,Down,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Hspa1b,Down,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Hspa1a,Down,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Hsp90aa1,Down,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Dnajb4,Down,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Fnip1,Down,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Arid2,Down,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Plin2,Down,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Slc5a3,Down,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Prmt6,Down,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Irs2,Down,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Fos,Down,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Kmt5b,Down,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Otud1,Down,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Egr1,Down,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Atf3,Down,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Arid5b,Down,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Ints6,Down,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
S100a9,Up,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
S100a8,Up,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Hes1,Up,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
H1f0,Up,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Net1,Up,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Proser1,Up,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Orm1,Up,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Grhl1,Up,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Gcnt1,Up,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Zdhhc20,Up,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Tipin,Up,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Asxl2,Up,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
